"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"1","2013-01-04",0,0,0.016,0,0.0029,0,0.0458,0.002,0.001,0.002,0.0152,0,0,0.0793,0.007,0,0.003,0.004,0,0,0,0,0,0,0.037,0,0.0296,0,0.001,0,2.24,0.035,0.02,3.91,2.31,0.905,2.82,14.6
"2","2013-01-10",0.032,0,0,0,0.001,0,0.0479,0.001,0.001,0.001,0.005,0,0,0.104,0.003,0,0.003,0.004,0,0,0,0,0.002,0,0.028,0.001,0.0223,0,0,0,0.479,0.036,0,0.86,2.08,0.977,0.95,7.4
"3","2013-01-13",0,0,0,0,0.0018,0.002,0.0261,0.001,0.001,0.0067,0.0209,0,0,0.116,0,0,0.002,0.006,0,0,0,0,0.004,0.003,0.0135,0,0.0261,0,0,0,1.57,0.07,0.054,3.01,3.22,1.68,3.58,18.2
"4","2013-01-16",0.005,0.001,0.006,0,0.0033,0,0.0576,0.004,0,0.0072,0.0425,0,0,0.122,0.004,0,0.003,0.006,0.0132,0,0,0,0.002,0.002,0.035,0,0.0526,0,0,0.001,1.33,0.067,0.045,2.75,2.63,1.58,2.06,14
"5","2013-01-25",0,0,0.032,0,0.0052,0,0.121,0.001,0,0.0095,0.0963,0,0,0.137,0.011,0.009,0.004,0.007,0.008,0.005,0,0,0.001,0.003,0.073,0,0.102,0,0,0,1.05,0.144,0.02,3.03,2.47,0.892,1.26,11.5
"6","2013-01-31",0,0.001,0,0,0.0017,0,0.0295,0.003,0,0.001,0.0744,0,0,0.0745,0,0,0.001,0.002,0.006,0,0,0,0,0.001,0.026,0.001,0.0097,0,0,0,0.326,0.144,0,0.487,1.4,0.451,0.822,4.2
"7","2013-02-03",0.061,0,0,0,0.0081,0,0.0401,0.003,0.001,0.004,0.0372,0,0,0.0706,0.002,0,0.002,0.006,0,0,0,0,0,0,0.0209,0,0.0391,0,0,0,2.82,0.064,0.05,6.24,3.28,0.86,3.03,19.7
"8","2013-02-06",0,0,0.078,0,0.0069,0.001,0.0757,0.053,0.0022,0.0114,0.0465,0,0,0.31,0.005,0,0.006,0.023,0,0,0.001,0,0.004,0.001,0.076,0,0.0448,0,0.001,0,2.87,0.063,0.052,6.03,3.41,1.21,3.07,19.8
"9","2013-02-09",0,0.002,0.011,0,0.002,0,0.0254,0,0,0.001,0.009,0,0.001,0.0321,0,0,0,0.004,0.009,0,0.001,0,0.002,0.001,0.021,0,0.0145,0,0,0,0.156,0.06,0.02,0.418,1.99,0.462,0.927,4.9
"10","2013-02-12",0.011,0.001,0,0,0.0029,0,0.0282,0.008,0.001,0.0043,0.005,0,0,0.101,0,0,0.001,0.003,0.0126,0,0,0.007,0,0,0.038,0,0.0197,0,0,0,1.26,0.079,0.02,1.37,2.01,0.655,2.9,9.5
