"","Date","Antimony.","Arsenic.","Aluminum.","Barium.","Bromine.","Cadmium.","Calcium.","Chromium.","Cobalt.","Copper.","Chlorine.","Cerium.","Cesium.","Iron.","Lead.","Indium.","Manganese.","Nickel.","Magnesium.","Phosphorus.","Selenium.","Tin.","Titanium.","Vanadium.","Silicon.","Silver.","Zinc.","Strontium.","Rubidium.","Zirconium.","Ammonium","Sodium","Potassium","Nitrate","OC","EC","Sulfate.","PM2.5"
"1","2011-01-06",0,0.002,0.031,0,0.0025,0,0.0587,0.001,0.001,0.002,0.0497,0,0,0.105,0.002,0.013,0.001,0.0082,0,0,0,0,0,0.002,0.029,0,0.033,0.001,0,0,2.06,0.05,0.074,4.34,2.94,1.4,2.58,16.6
"2","2011-01-12",0,0,0.028,0,0.0032,0,0.0426,0.001,0.0023,0.003,0.03,0,0,0.0719,0.004,0.007,0.0028,0.0045,0,0,0,0.03,0.003,0,0.02,0,0.0287,0.001,0,0.0064,1.32,0.07,0.079,2.35,2.77,1.16,2.33,12.7
"3","2011-01-15",0.011,0,0.001,0.009,0.0041,0.011,0.0437,0.002,0.001,0.007,0.006,0,0.002,0.0713,0.005,0.012,0.0034,0.0063,0.024,0.003,0.001,0,0.003,0.0064,0.0355,0.016,0.031,0.001,0,0,2.92,0.07,0.083,5.24,3.35,1.2,3.42,18.9
"4","2011-01-21",0.033,0,0.026,0,0.0029,0,0.0621,0.002,0.0016,0.0032,0.0301,0,0.004,0.214,0.0063,0.011,0.0027,0.008,0,0,0,0,0.002,0.001,0.032,0,0.0416,0,0,0,1.68,0.09,0.058,2.9,2.5,1.23,2.65,13.7
"5","2011-02-02",0.009,0.0026,0.032,0,0.0035,0,0.123,0.002,0.001,0.0395,0.109,0,0,0.136,0.0102,0,0.0043,0.014,0,0.009,0.002,0,0,0.0132,0.044,0,0.0771,0.001,0,0,1.74,0.08,0.074,2.43,3.47,2.08,3.35,16.7
"6","2011-02-08",0.036,0,0.031,0,0.0036,0,0.0424,0,0,0.001,0.008,0,0,0.0869,0.001,0,0.001,0.004,0,0,0,0,0,0.001,0.023,0,0.0175,0,0,0,1.32,0.04,0,1.38,2.05,1.07,2.77,9.7
"7","2011-02-11",0,0.001,0.013,0,0.0043,0,0.0631,0.001,0.001,0.008,0.063,0,0,0.115,0.0077,0,0.0049,0.0051,0,0,0.001,0,0.001,0.006,0.086,0,0.0246,0,0,0,3.16,0.07,0.083,5.99,3.48,1.17,2.79,19.7
"8","2011-02-17",0.005,0,0.026,0.009,0.0075,0.019,0.111,0,0,0.009,0.044,0,0.001,0.282,0.003,0.015,0.0065,0.0062,0,0,0.001,0.011,0.0088,0.0116,0.0943,0.011,0.032,0,0,0.004,2.88,0.18,0.134,4.82,6.49,3.34,3.01,27
"9","2011-02-20",0.016,0.002,0.007,0,0.0026,0.012,0.0571,0,0.001,0,0.106,0.002,0,0.0641,0,0.004,0,0.0043,0,0.005,0.001,0.013,0,0.001,0.0378,0.011,0.011,0.001,0,0.003,0.295,0.224,0.034,0.554,2.44,0.525,0.834,6.2
"10","2011-02-23",0.021,0,0.043,0,0.0061,0.002,0.135,0,0.001,0.0071,0.16,0,0,0.2,0.0028,0,0.005,0.0157,0,0.016,0,0,0.004,0.0061,0.0632,0.008,0.0661,0,0,0,1.3,0.196,0.064,2.68,3.47,1.55,1.39,13.9
"11","2011-02-26",0.027,0,0.027,0,0.0032,0.013,0.0503,0.001,0,0.0042,0.0098,0.003,0,0.0807,0.002,0,0.0019,0.0065,0,0,0,0.008,0.002,0.0051,0.033,0,0.0204,0,0,0,1.6,0.06,0,1.93,2.22,0.705,2.77,10.6
"12","2011-03-01",0.015,0,0.011,0,0.0026,0,0.0492,0,0.0018,0.0025,0.003,0,0.002,0.0854,0,0,0.0033,0.0032,0.004,0,0,0,0.003,0.002,0.039,0,0.0206,0,0,0,0.784,0.05,0,0.673,2.04,0.747,1.82,7.2
"13","2011-03-04",0.007,0,0.034,0,0.0047,0.001,0.0801,0.001,0,0.006,0.0236,0,0.006,0.201,0.0044,0,0.0021,0.0047,0.003,0,0,0,0.004,0,0.062,0,0.0177,0.0021,0.001,0,0.751,0.16,0,1.3,2.19,1.09,1.57,9
"14","2011-03-10",0.004,0,0.007,0,0.0046,0,0.0872,0.002,0.001,0.002,1.56,0,0,0.0804,0,0,0.001,0.0033,0.122,0,0.001,0.002,0,0.003,0.033,0,0.0185,0.001,0,0,0.333,1.31,0.084,0.589,1.27,0.655,1.78,8.3
"15","2011-03-13",0,0,0.029,0,0.001,0,0.0308,0.001,0,0.0031,0.005,0,0,0.0637,0,0,0,0.0027,0,0,0.002,0,0,0.003,0.025,0.0128,0.0071,0,0,0,1.35,0.06,0.051,0.848,2.51,0.558,3.17,9.6
"16","2011-03-16",0,0,0.03,0,0,0,0.0513,0.002,0.001,0,0.009,0,0,0.115,0,0,0,0.0037,0,0,0,0.008,0,0.003,0.03,0,0.019,0.002,0,0,1.11,0.11,0,1.26,2.06,1.02,2.35,9.2
"17","2011-03-19",0,0,0.011,0,0.0018,0.005,0.0253,0.001,0,0.001,0.007,0,0,0.0467,0.002,0.014,0,0.001,0,0,0,0,0,0,0.027,0.002,0.0076,0.001,0,0,0.627,0.04,0,0.405,2.12,0.392,1.57,7.2
"18","2011-03-22",0,0,0.025,0,0.0021,0,0.0439,0,0,0.002,0.006,0.001,0,0.0742,0,0,0.002,0.004,0,0,0,0,0.003,0,0.037,0,0.0151,0,0,0,0.787,0.033,0.025,0.94,2,0.842,1.61,7
"19","2011-03-25",0,0,0.032,0,0.0042,0,0.0441,0.002,0.001,0.0019,0.007,0,0,0.0711,0.002,0,0.0023,0.0027,0,0,0,0,0.0054,0,0.0463,0,0.0156,0,0,0.001,0.898,0.07,0.057,1.33,2.15,0.754,1.64,8
"20","2011-03-31",0,0,0.003,0.006,0.002,0.001,0.0372,0.0427,0,0.0081,0.0108,0,0.005,0.244,0.001,0,0.0025,0.0144,0.01,0,0,0,0.002,0.001,0.042,0.006,0.0152,0,0,0.005,0.447,0.042,0,1.31,1.3,0.761,0.995,6.1
"21","2011-04-03",0,0,0.031,0,0.0047,0,0.0528,0.002,0.001,0.002,0.0099,0,0,0.0854,0,0,0.002,0.0029,0,0,0,0,0.002,0.001,0.047,0,0.0062,0,0,0,0.973,0.04,0.051,1.02,2.51,0.749,2.23,8.9
"22","2011-04-06",0,0,0.023,0,0.0028,0,0.0533,0,0.0015,0.0044,0.011,0,0,0.0972,0.002,0,0.0032,0.0036,0,0,0,0,0.002,0.001,0.044,0,0.0194,0.001,0,0,1.23,0.03,0.044,2.58,1.95,0.91,2.11,8.2
"23","2011-04-09",0,0,0.069,0,0.0035,0,0.0794,0,0.002,0.0051,0.0198,0,0,0.166,0.0037,0,0.0046,0.0095,0,0,0,0,0,0.0065,0.069,0,0.0366,0,0,0.002,3.45,0.08,0.059,8.12,2.95,1.54,3.62,20.8
"24","2011-04-12",0,0,0,0,0.0031,0,0.0433,0.001,0.0015,0.001,0.007,0,0,0.0851,0,0,0.0022,0.0031,0,0,0,0,0.002,0,0.056,0,0.0082,0,0,0,0.364,0.03,0.024,0.395,1.84,0.752,1.25,5.5
"25","2011-04-15",0,0,0.03,0,0.0024,0,0.0546,0,0.001,0.0028,0.098,0,0,0.14,0,0,0.0045,0.0029,0.013,0,0,0,0.004,0,0.064,0.014,0.0077,0.001,0,0,0.524,0.233,0.035,0.672,1.78,0.764,1.31,6.7
"26","2011-04-21",0.004,0.001,0.001,0,0.0018,0,0.0394,0,0.001,0.002,0.005,0,0,0.0934,0.002,0,0,0.001,0,0,0,0,0.004,0,0.054,0,0.0098,0,0,0,0.698,0.02,0,0.233,1.69,0.621,1.82,6.7
"27","2011-04-24",0.004,0.001,0.047,0,0.005,0,0.0508,0.001,0.001,0.007,0.0218,0,0,0.165,0.002,0.034,0,0.0044,0.007,0,0.001,0,0.001,0.0084,0.074,0,0.0166,0,0.001,0,1.56,0.15,0.091,2.59,4.63,1.55,3.37,17.3
"28","2011-04-27",0.019,0,0,0,0.0022,0,0.0694,0,0,0.0065,0.03,0,0,0.195,0.002,0,0.0021,0.0045,0.047,0,0,0,0.003,0.0072,0.0459,0.007,0.0163,0,0,0,0.458,0.545,0.039,1.05,2.19,0.983,1.8,9.4
"29","2011-04-30",0,0,0,0,0,0,0.0244,0.007,0.001,0.0046,0.004,0,0,0.151,0,0,0.002,0.0042,0,0,0,0,0.004,0.005,0.027,0,0.0087,0,0,0,0.461,0.02,0,0.478,1.87,0.663,1.22,5.7
"30","2011-05-03",0.022,0.001,0.048,0,0.0051,0,0.0747,0,0.0022,0.0057,0.0437,0,0.002,0.249,0,0,0.0038,0.0045,0.03,0,0,0,0.003,0.0084,0.075,0,0.018,0,0,0,1.42,0.29,0,2.62,4.16,1.46,2.73,13.1
"31","2011-05-06",0,0.001,0.076,0,0.0052,0,0.0605,0.004,0.001,0.005,0.0208,0,0,0.158,0.0043,0,0.0022,0.0071,0.006,0,0,0,0.001,0.0208,0.101,0,0.0228,0.001,0,0,1.07,0.0898,0.032,1.07,3.2,1.38,2.64,11.5
"32","2011-05-12",0.021,0,0.022,0.001,0.002,0,0.0499,0,0.002,0.001,0,0,0,0.158,0,0.015,0.001,0.0044,0,0,0.002,0.009,0.0047,0.0055,0.061,0.008,0.01,0.001,0,0.002,0.452,0.154,0.0248,1.21,2.33,1.27,1.15,7.9
